id,family,nfixer,spcode,treatment,amax,gs,wue,init_height
5,legume,fixer,ec,ambientrain,23.42,0.177,12.682,17
6,legume,fixer,ec,ambientrain,23.543,0.257,7.296,25
7,legume,fixer,ec,ambientrain,21.427,0.21,8.928,14
8,legume,fixer,ec,ambientrain,23.673,0.193,11.492,16
9,legume,fixer,ec,ambientrain_water_nutrients,19.67,0.257,4.574,20.5
10,legume,fixer,ec,ambientrain_water_nutrients,21.95,0.267,5.023,21
11,legume,fixer,ec,ambientrain_water_nutrients,20.013,0.267,4.562,24
12,legume,fixer,ec,ambientrain_water_nutrients,22.553,0.29,4.924,25.5
13,legume,fixer,ec,ambientrain_water,20.657,0.34,4.58,20
14,legume,fixer,ec,ambientrain_water,25.467,0.47,4.502,20
15,legume,fixer,ec,ambientrain_water,23.6,0.457,4.346,23
16,legume,fixer,ec,ambientrain_water,24.313,0.417,4.655,24.5
17,legume,fixer,ec,ambientrain_nutrients,18.647,0.247,4.408,24.5
18,legume,fixer,ec,ambientrain_nutrients,23.04,0.35,4.553,13.5
19,legume,fixer,ec,ambientrain_nutrients,20.405,0.33,5.153,17
25,legume,nonFixer,hc,ambientrain,7.26,0.23,1.665,29
26,legume,nonFixer,hc,ambientrain,8.203,0.107,3.221,26
27,legume,nonFixer,hc,ambientrain,5.457,0.06,3.355,32
28,legume,nonFixer,hc,ambientrain,5.557,0.07,2.977,19
29,legume,nonFixer,hc,ambientrain_water_nutrients,9.64,0.263,2.206,24
30,legume,nonFixer,hc,ambientrain_water_nutrients,8.9,0.297,1.926,25
31,legume,nonFixer,hc,ambientrain_water_nutrients,6.713,0.233,1.635,38
32,legume,nonFixer,hc,ambientrain_water_nutrients,4.017,0.08,2.883,32
33,legume,nonFixer,hc,ambientrain_water,6.547,0.337,1.352,32
34,legume,nonFixer,hc,ambientrain_water,7.363,0.31,1.6,28
35,legume,nonFixer,hc,ambientrain_water,7.927,0.34,1.637,26
36,legume,nonFixer,hc,ambientrain_water,9.083,0.353,1.875,27
37,legume,nonFixer,hc,ambientrain_nutrients,7.027,0.207,1.909,28
38,legume,nonFixer,hc,ambientrain_nutrients,7.707,0.243,1.908,31
39,legume,nonFixer,hc,ambientrain_nutrients,9.503,0.243,2.364,29
40,legume,nonFixer,hc,ambientrain_nutrients,5.82,0.105,3.404,27
45,nonlegume,nonFixer,sg,ambientrain,3.287,0.05,3.062,9.5
46,nonlegume,nonFixer,sg,ambientrain,3.267,0.07,2.67,7
47,nonlegume,nonFixer,sg,ambientrain,2.56,0.067,2.286,8.5
48,nonlegume,nonFixer,sg,ambientrain,5.027,0.07,3.968,13
49,nonlegume,nonFixer,sg,ambientrain_water_nutrients,3.127,0.09,1.975,9
50,nonlegume,nonFixer,sg,ambientrain_water_nutrients,3.42,0.157,1.283,8
51,nonlegume,nonFixer,sg,ambientrain_water_nutrients,3.55,0.16,1.282,10
52,nonlegume,nonFixer,sg,ambientrain_water_nutrients,3.47,0.19,1.087,11.5
53,nonlegume,nonFixer,sg,ambientrain_water,3.33,0.31,0.736,10
54,nonlegume,nonFixer,sg,ambientrain_water,5.327,0.327,1.133,7.5
55,nonlegume,nonFixer,sg,ambientrain_water,5.283,0.293,1.18,11
57,nonlegume,nonFixer,sg,ambientrain_nutrients,5.317,0.11,2.76,11
58,nonlegume,nonFixer,sg,ambientrain_nutrients,4.25,0.093,2.56,6.5
59,nonlegume,nonFixer,sg,ambientrain_nutrients,5.397,0.197,1.825,8.5
60,nonlegume,nonFixer,sg,ambientrain_nutrients,4.174,0.068,3.124,11
65,nonlegume,nonFixer,sm,ambientrain,4.17,0.09,2.811,16
66,nonlegume,nonFixer,sm,ambientrain,4.503,0.103,2.724,20
67,nonlegume,nonFixer,sm,ambientrain,5.153,0.107,3.086,19.5
68,nonlegume,nonFixer,sm,ambientrain,5.543,0.1,3.373,23
69,nonlegume,nonFixer,sm,ambientrain_water_nutrients,7.353,0.417,1.327,16.5
70,nonlegume,nonFixer,sm,ambientrain_water_nutrients,7.577,0.487,1.19,12.5
71,nonlegume,nonFixer,sm,ambientrain_water_nutrients,5.16,0.438,0.849,18
72,nonlegume,nonFixer,sm,ambientrain_water_nutrients,7.54,0.617,1.072,14
73,nonlegume,nonFixer,sm,ambientrain_water,6.487,0.313,1.436,14
74,nonlegume,nonFixer,sm,ambientrain_water,5.35,0.343,1.125,17
75,nonlegume,nonFixer,sm,ambientrain_water,7.587,0.323,1.642,16
76,nonlegume,nonFixer,sm,ambientrain_water,3.11,0.297,0.707,20.5
77,nonlegume,nonFixer,sm,ambientrain_nutrients,7.253,0.167,2.71,7
79,nonlegume,nonFixer,sm,ambientrain_nutrients,7.457,0.137,3.164,15
80,nonlegume,nonFixer,sm,ambientrain_nutrients,7.323,0.08,4.704,15.5
85,nonlegume,nonFixer,pq,ambientrain,7.907,0.087,5.428,9
86,nonlegume,nonFixer,pq,ambientrain,5.753,0.28,1.189,10
87,nonlegume,nonFixer,pq,ambientrain,6.31,0.07,4.93,8
88,nonlegume,nonFixer,pq,ambientrain,8.423,0.097,5.309,9.5
89,nonlegume,nonFixer,pq,ambientrain_water_nutrients,6.583,0.413,1.097,8.5
90,nonlegume,nonFixer,pq,ambientrain_water_nutrients,4.37,0.23,1.104,10.5
91,nonlegume,nonFixer,pq,ambientrain_water_nutrients,7.38,0.31,1.505,12
92,nonlegume,nonFixer,pq,ambientrain_water_nutrients,7.457,0.413,1.317,13
94,nonlegume,nonFixer,pq,ambientrain_water,7.383,0.313,1.665,8
95,nonlegume,nonFixer,pq,ambientrain_water,6.147,0.277,1.494,9.5
96,nonlegume,nonFixer,pq,ambientrain_water,7.413,0.263,2.055,12
97,nonlegume,nonFixer,pq,ambientrain_nutrients,5.38,0.103,2.783,10.5
98,nonlegume,nonFixer,pq,ambientrain_nutrients,6.02,0.075,4.068,7.5
99,nonlegume,nonFixer,pq,ambientrain_nutrients,6.575,0.14,2.798,7.5
100,nonlegume,nonFixer,pq,ambientrain_nutrients,6.19,0.113,3.02,9
105,legume,fixer,gs,ambientrain,11.003,0.21,3.006,12.5
106,legume,fixer,gs,ambientrain,12.113,0.24,3.245,13
107,legume,fixer,gs,ambientrain,6.303,0.15,2.292,20
108,legume,fixer,gs,ambientrain,12.837,0.3,2.893,19
109,legume,fixer,gs,ambientrain_water_nutrients,15.943,0.483,2.597,17.5
110,legume,fixer,gs,ambientrain_water_nutrients,13.343,0.44,2.264,17.5
111,legume,fixer,gs,ambientrain_water_nutrients,11.377,0.41,1.983,16.5
113,legume,fixer,gs,ambientrain_water,11.267,0.27,2.877,15.5
114,legume,fixer,gs,ambientrain_water,12.48,0.283,2.907,16
115,legume,fixer,gs,ambientrain_water,16.447,0.35,3.389,15.5
117,legume,fixer,gs,ambientrain_nutrients,8.46,0.07,5.958,12.5
118,legume,fixer,gs,ambientrain_nutrients,8.33,0.1,4.462,17.5
119,legume,fixer,gs,ambientrain_nutrients,10.9,0.09,6.45,13.5
126,legume,fixer,dr,ambientrain,8.407,0.283,1.867,11.5
127,legume,fixer,dr,ambientrain,12.477,0.31,2.598,11
128,legume,fixer,dr,ambientrain,9.6,0.27,2.143,11
129,legume,fixer,dr,ambientrain_water_nutrients,10.16,0.147,3.777,11
130,legume,fixer,dr,ambientrain_water_nutrients,9.923,0.137,4.084,8.5
131,legume,fixer,dr,ambientrain_water_nutrients,14.297,0.317,3.412,10
132,legume,fixer,dr,ambientrain_water_nutrients,9.863,0.17,3.433,12.5
133,legume,fixer,dr,ambientrain_water,12.307,0.17,3.729,10
134,legume,fixer,dr,ambientrain_water,12.977,0.187,3.676,7
135,legume,fixer,dr,ambientrain_water,12.193,0.2,3.284,9
136,legume,fixer,dr,ambientrain_water,17.217,0.363,3.136,9.5
137,legume,fixer,dr,ambientrain_nutrients,8.257,0.11,4.22,10.5
138,legume,fixer,dr,ambientrain_nutrients,8.08,0.08,5.572,8.5
140,legume,fixer,dr,ambientrain_nutrients,7.795,0.105,4.06,9.5
145,nonlegume,nonFixer,to,ambientrain,5.447,0.197,1.46,5
146,nonlegume,nonFixer,to,ambientrain,5.42,0.19,1.51,6
147,nonlegume,nonFixer,to,ambientrain,6.71,0.207,1.757,5
148,nonlegume,nonFixer,to,ambientrain,7.31,0.273,1.678,3
149,nonlegume,nonFixer,to,ambientrain_water_nutrients,4.443,0.27,0.851,5
150,nonlegume,nonFixer,to,ambientrain_water_nutrients,4.453,0.167,1.196,6
151,nonlegume,nonFixer,to,ambientrain_water_nutrients,4.163,0.193,1.045,4.5
152,nonlegume,nonFixer,to,ambientrain_water_nutrients,4.64,0.19,1.193,6
154,nonlegume,nonFixer,to,ambientrain_water,6.197,0.22,1.543,6
155,nonlegume,nonFixer,to,ambientrain_water,6.18,0.247,1.438,6
156,nonlegume,nonFixer,to,ambientrain_water,4.38,0.11,1.97,4.5
157,nonlegume,nonFixer,to,ambientrain_nutrients,4.3,0.14,1.949,4.5
158,nonlegume,nonFixer,to,ambientrain_nutrients,3.45,0.105,1.783,5
159,nonlegume,nonFixer,to,ambientrain_nutrients,3.865,0.08,2.771,4.5
20,NA,NA,ec,NA,NA,NA,NA,NA
56,NA,NA,sg,NA,NA,NA,NA,NA
78,NA,NA,sm,NA,NA,NA,NA,NA
112,NA,NA,gs,NA,NA,NA,NA,NA
120,NA,NA,gs,NA,NA,NA,NA,NA
139,NA,NA,dr,NA,NA,NA,NA,NA
160,NA,NA,to,NA,NA,NA,NA,NA
