id,family,Nfixer,spcode,treatment,LA,SLA,LDMC,LT,Amax,gs,WUE,d13c,CN,Narea,Nmass,TD,total_biom,above_biom,below_biom,initHeight,rgr,agr
5,legume,fixer,ec,ambientrain,0.00424718,233.36154,0.268041237,0.12,23.42,0.177,12.682,-29.52088396,10.475077397201,2.01213976388568,46.95560309,0.357099688891894,3.915,2.254,1.661,17,0.008326423,0.205882353
6,legume,fixer,ec,ambientrain,0.00240549,132.16978,0.326164875,0.18,23.543,0.257,7.296,-29.39493394,10.8330390483844,3.47913594193283,45.98366328,0.420334781184894,6.284,3.291,2.993,25,0.006915137,0.235294118
7,legume,fixer,ec,ambientrain,0.00532261,108.18313,0.313176321,0.35,21.427,0.21,8.928,-28.95119752,10.2154881436044,4.49227114740325,48.59879539,0.264102439737402,5.798,2.551,3.247,14,0.00972563,0.211764706
8,legume,fixer,ec,ambientrain,0.00197916,232.84235,0.240112994,0.13,23.673,0.193,11.492,-29.91483595,9.23463121864251,2.27554382098971,52.98429775,0.330365489452743,3.857,1.978,1.879,16,0.007589858,0.170588235
9,legume,fixer,ec,ambientrain_water_nutrients,0.00142568,112.25827,0.391975309,0.16,19.67,0.257,4.574,-30.2786471,12.3604737008948,3.5077509203538,39.37740419,0.556751854451347,4.974,2.441,2.533,20.5,0.008297277,0.247058824
10,legume,fixer,ec,ambientrain_water_nutrients,0.00900788,220.78137,0.282157676,0.12,21.95,0.267,5.023,-29.10112818,10.6714251622802,2.11153903437435,46.61884862,0.377447306053646,15.055,6.228,8.827,21,0.011747398,0.423529412
11,legume,fixer,ec,ambientrain_water_nutrients,0.00505577,187.94684,0.267130089,0.12,20.013,0.267,4.562,-29.0963584,9.52601647310314,2.67441194649678,50.26472746,0.443387786319437,8.922,4.543,4.379,24,0.007653971,0.258823529
12,legume,fixer,ec,ambientrain_water_nutrients,0.00525161,93.11365,0.293444329,0.18,22.553,0.29,4.924,-28.80535816,11.9216675756236,4.37825138776109,40.76749782,0.596642442386863,11.586,5.489,6.097,25.5,0.00996821,0.4
13,legume,fixer,ec,ambientrain_water,0.00193416,117.93659,0.382284382,0.16,20.657,0.34,4.58,-29.4460249,12.7427633503954,3.23083465252099,38.10336068,0.529945795448215,7.506,3.64,3.866,20,0.007077412,0.194117647
14,legume,fixer,ec,ambientrain_water,0.00333823,96.20259,0.392978482,0.18,25.467,0.47,4.502,-31.03808581,13.9582194086065,3.51506348774051,33.81582244,0.577485029826698,7.529,3.584,3.945,20,0.010051945,0.317647059
15,legume,fixer,ec,ambientrain_water,0.00350512,106.86341,0.362030905,0.16,23.6,0.457,4.346,-30.47394266,11.3379524237461,3.96368462630666,42.35728737,0.58485874631925,7.366,3.394,3.972,23,0.00694352,0.217647059
16,legume,fixer,ec,ambientrain_water,0.00331986,95.39828,0.390572391,0.17,24.313,0.417,4.655,-29.71990504,11.6974119966728,4.34430704071858,41.44394015,0.616609957870988,7.329,2.952,4.377,24.5,0.006617965,0.217647059
17,legume,fixer,ec,ambientrain_nutrients,0.00325307,100.09446,0.372279496,0.16,18.647,0.247,4.408,-28.14545799,19.8301571461479,2.36906932766587,23.71307187,0.624410182141949,12.39,5.013,7.377,24.5,0.009297776,0.347058824
18,legume,fixer,ec,ambientrain_nutrients,0.00310978,138.21244,0.328467153,0.14,23.04,0.35,4.553,-29.42725173,10.8442815103843,3.21337830023346,44.41288698,0.516802767019897,6.218,3.215,3.003,13.5,0.01292485,0.317647059
19,legume,fixer,ec,ambientrain_nutrients,0.00478453,115.84818,0.405299313,0.18,20.405,0.33,5.153,-29.02130117,12.19041635143,3.41433273769628,39.55442473,0.479554841133936,12.876,5.053,7.823,17,0.01326588,0.417647059
25,legume,nonFixer,hc,ambientrain,0.00285499,96.77932,0.515734266,0.22,7.26,0.23,1.665,-29.08371594,49.0327000282246,1.08532119457511,10.50366494,0.46967208960081,9.932,5.307,4.625,29,0.00348548,0.117647059
26,legume,nonFixer,hc,ambientrain,0.00241721,91.21547,0.539714868,0.2,8.203,0.107,3.221,-28.03085412,45.4948805957596,1.22903031375015,11.21065798,0.548152632442721,9.9,5.305,4.595,26,0.004464584,0.141176471
27,legume,nonFixer,hc,ambientrain,0.00248648,100.26129,0.494023904,0.2,5.457,0.06,3.355,-30.82157032,39.8393313221155,1.30367104771404,13.07077414,0.498696954726994,7.907,4.831,3.076,32,0.003612059,0.135294118
28,legume,nonFixer,hc,ambientrain,0.00313212,101.69221,0.561020036,0.2,5.557,0.07,2.977,-28.00732325,34.7693596449887,1.45786566954012,14.82535786,0.491679746167381,8.68,4.773,3.907,19,0.005175897,0.123529412
29,legume,nonFixer,hc,ambientrain_water_nutrients,0.0033313,88.83467,0.554733728,0.2,9.64,0.263,2.206,-29.25147951,40.0717623833908,1.42586163997539,12.66659435,0.562843313314498,8.726,4.796,3.93,24,0.003923431,0.111764706
30,legume,nonFixer,hc,ambientrain_water_nutrients,0.00295571,98.19635,0.518072289,0.2,8.9,0.297,1.926,-29.57024412,32.5318140314541,1.61316504977146,15.84069126,0.509183895328085,9.55,4.594,4.956,25,0.004289919,0.129411765
31,legume,nonFixer,hc,ambientrain_water_nutrients,0.0036494,91.92443,0.549100968,0.22,6.713,0.233,1.635,-27.05490679,33.9951732192037,1.64819270072615,15.15091799,0.494477316362424,11.938,7.708,4.23,38,0.003690089,0.164705882
32,legume,nonFixer,hc,ambientrain_water_nutrients,0.00445663,99.70089,0.528994083,0.21,4.017,0.08,2.883,-29.95303635,31.2272616680404,1.67003346301802,16.65038307,0.477619082628526,13.151,6.778,6.373,32,0.00291572,0.105882353
33,legume,nonFixer,hc,ambientrain_water,0.005127,115.21348,0.47542735,0.18,6.547,0.337,1.352,-30.40483597,41.0731070421836,1.09025398564463,12.56119592,0.48219666271304,13.602,7.099,6.503,32,0.004522491,0.176470588
34,legume,nonFixer,hc,ambientrain_water,0.00271665,105.29651,0.469945355,0.21,7.363,0.31,1.6,-28.67301783,40.4205426345048,1.19607885439788,12.5942931,0.452237663138575,10.528,6.164,4.364,28,0.003898319,0.129411765
35,legume,nonFixer,hc,ambientrain_water,0.00334359,100.10749,0.478510029,0.21,7.927,0.34,1.637,-29.2921831,31.598388934036,1.64397886582386,16.45745897,0.475679168652092,11.66,5.474,6.186,26,0.00550114,0.182352941
36,legume,nonFixer,hc,ambientrain_water,0.00266437,105.72897,0.513238289,0.18,9.083,0.353,1.875,-28.97555843,39.7415508501879,1.23092462122003,13.01443902,0.525452537327807,8.584,5.104,3.48,27,0.004326174,0.141176471
37,legume,nonFixer,hc,ambientrain_nutrients,0.0025982,102.69565,0.489361702,0.19,7.027,0.207,1.909,-30.06244178,27.1428731992291,1.83981942176122,18.89414554,0.512500567914692,8.478,5.603,2.875,28,0.005840434,0.211764706
38,legume,nonFixer,hc,ambientrain_nutrients,0.00475141,97.96722,0.524891775,0.19,7.707,0.243,1.908,-28.69758736,29.2026005403514,1.80293593223906,17.66286148,0.5372366282045,15.415,7.001,8.414,31,0.004384415,0.164705882
39,legume,nonFixer,hc,ambientrain_nutrients,0.00282922,100.68399,0.49471831,0.21,9.503,0.243,2.364,-28.71261277,31.1966405215498,1.57922513388496,15.90026809,0.472955507812589,8.017,4.937,3.08,29,0.00516902,0.188235294
40,legume,nonFixer,hc,ambientrain_nutrients,0.00274951,98.54875,0.547058824,0.18,5.82,0.105,3.404,-28.3375106,32.1442316517518,1.61786279428698,15.94383488,0.563736785657409,9.587,5.507,4.08,27,0.002181214,0.064705882
45,nonlegume,nonFixer,sg,ambientrain,0.00461617,122.77048,0.394543547,0.27,3.287,0.05,3.062,-29.20989432,49.6992881835704,0.754098260124735,9.25810044,0.301677056545165,5.275,2.973,2.302,9.5,0.002247709,0.023529412
46,nonlegume,nonFixer,sg,ambientrain,0.0039184,102.84514,0.45035461,0.28,3.267,0.07,2.67,-29.42192067,52.2442985424824,0.842768715450184,8.66746702,0.347262745855426,5.133,3.227,1.906,7,0.002284188,0.017647059
47,nonlegume,nonFixer,sg,ambientrain,0.00198826,194.92745,0.295652174,0.18,2.56,0.067,2.286,-30.00182904,30.8419190687892,0.76433611300333,14.89900902,0.285006321867729,1.725,1.054,0.671,8.5,0.002485989,0.023529412
48,nonlegume,nonFixer,sg,ambientrain,0.00452874,119.80794,0.413114754,0.22,5.027,0.07,3.968,-29.05556161,51.0948074618942,0.742546692589992,8.8962987,0.379395100646463,5.459,3.235,2.224,13,0,0
49,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00455177,94.43506,0.424669604,0.25,3.127,0.09,1.975,-29.71993304,39.6128070140481,1.20757797362784,11.40377011,0.423571499822206,7.943,4.677,3.266,9,0.002883794,0.029411765
50,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00522997,114.44136,0.402998236,0.24,3.42,0.157,1.283,-29.09833919,37.0610769988008,1.07816562810877,12.33867372,0.364087482590793,6.113,3.932,2.181,8,0.005711857,0.058823529
51,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00343193,111.0657,0.399224806,0.22,3.55,0.16,1.282,-29.63963116,39.6386122058357,1.03000258075485,11.43979533,0.409258172906176,6.732,4.23,2.502,10,0.003086638,0.035294118
52,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00387228,110.95358,0.421497585,0.22,3.47,0.19,1.087,-29.67303685,39.0358441222151,1.03665904495543,11.5021034,0.409671733481204,5.44,3.739,1.701,11.5,0.002314239,0.029411765
53,nonlegume,nonFixer,sg,ambientrain_water,0.00522984,124.81718,0.394538606,0.21,3.33,0.31,0.736,-29.39757834,52.9466928682796,0.698458072568186,8.71795696,0.381510362748522,5.282,3.246,2.036,10,0.002625218,0.029411765
54,nonlegume,nonFixer,sg,ambientrain_water,0.00354047,105.37113,0.436931079,0.22,5.327,0.327,1.133,-30.05049368,53.7118657061071,0.797805373636834,8.40656545,0.431375704659763,4.777,3.034,1.743,7.5,0.003958497,0.035294118
55,nonlegume,nonFixer,sg,ambientrain_water,0.00338721,90.3256,0.46641791,0.22,5.283,0.293,1.18,-29.11799004,48.0128563436189,1.04524325883249,9.44122245,0.50322993098906,4.392,2.967,1.425,11,5.23E-04,0.005882353
57,nonlegume,nonFixer,sg,ambientrain_nutrients,0.0037682,109.86006,0.417783191,0.23,5.317,0.11,2.76,-29.81996337,40.0843076994052,1.04533383895494,11.48404365,0.395760396176419,6.185,3.861,2.324,11,0.001965342,0.023529412
58,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00483673,105.37538,0.427374302,0.22,4.25,0.093,2.56,-29.66386174,43.6482746101252,1.00242110095664,10.56305057,0.431358306414131,6.322,4.067,2.255,6.5,0.005642036,0.047058824
59,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00350496,91.03792,0.43258427,0.23,5.397,0.197,1.825,-29.27191968,40.3732167387897,1.23746834537341,11.26565468,0.477584075619975,7.596,4.48,3.116,8.5,0.004537206,0.047058824
60,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00291498,96.52252,0.433908046,0.22,4.174,0.068,3.124,-29.45471789,45.1450284445115,1.06198595682303,10.25055571,0.470921661126807,6.679,4.189,2.49,11,0.001023663,0.011764706
65,nonlegume,nonFixer,sm,ambientrain,0.00195505,113.6657,0.487252125,0.22,4.17,0.09,2.811,-31.03864229,39.6479656902407,1.02379882568732,11.63708078,0.399896762651754,6.752,3.869,2.883,16,7.13E-04,0.011764706
66,nonlegume,nonFixer,sm,ambientrain,0.00448323,108.29058,0.520754717,0.21,4.503,0.103,2.724,-30.1773513,51.1919350002062,0.82144023365743,8.89542391,0.439733978883922,7.149,4.521,2.628,20,0.001385683,0.029411765
67,nonlegume,nonFixer,sm,ambientrain,0.00411227,113.28567,0.476377953,0.24,5.153,0.107,3.086,-31.15745383,45.985260286773,0.904079339795296,10.24192382,0.367801741091055,7.758,4.969,2.789,19.5,0.001419153,0.029411765
68,nonlegume,nonFixer,sm,ambientrain,0.00347268,138.35378,0.443462898,0.17,5.543,0.1,3.373,-31.42805409,50.7518347423417,0.659066881270373,9.11843975,0.425167490268533,6.75,4.366,2.384,23,9.81E-04,0.023529412
69,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00663949,144.96703,0.426443203,0.18,7.353,0.417,1.327,-31.60000629,42.9210113230424,0.745480222480944,10.80700542,0.38322890077527,10.688,6.784,3.904,16.5,0.00311403,0.058823529
70,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00829421,142.5122,0.435628743,0.18,7.577,0.487,1.19,-30.26292683,34.7602347260956,0.926529559131008,13.20417652,0.38983017282419,7.578,5.015,2.563,12.5,0.003266256,0.047058824
71,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.0063429,134.09937,0.367807154,0.24,5.16,0.438,0.849,-29.49137823,44.5859399681606,0.774945854653234,10.39197476,0.310714857695951,11.636,7.81,3.826,18,0.001813537,0.035294118
72,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00887304,144.51205,0.362669817,0.2,7.54,0.617,1.072,-31.0958042,41.2502929158811,0.769787294347822,11.12435416,0.345991908633225,10.007,6.656,3.351,14,0.003592725,0.058823529
73,nonlegume,nonFixer,sm,ambientrain_water,0.00371382,134.5587,0.416289593,0.18,6.487,0.313,1.436,-31.31987553,52.4135426794904,0.662613328465031,8.91603852,0.412872267312003,7.691,4.533,3.158,14,0.003278981,0.052941176
74,nonlegume,nonFixer,sm,ambientrain_water,0.00255213,106.78368,0.458733205,0.21,5.35,0.343,1.125,-30.5437369,63.6541748691059,0.67407408740934,7.1980113,0.445939375933173,9.929,6.188,3.741,17,0.001308537,0.023529412
75,nonlegume,nonFixer,sm,ambientrain_water,0.00562645,99.58319,0.574186992,0.23,7.587,0.323,1.642,-29.39396473,46.0766640608989,1.02465476112824,10.20383855,0.436602411205799,10.491,6.639,3.852,16,0.00291572,0.052941176
76,nonlegume,nonFixer,sm,ambientrain_water,0.00791947,149.14256,0.386744355,0.18,3.11,0.297,0.707,-30.1405968,56.798215211501,0.55419733396048,8.26544098,0.372499677862279,11.438,7.006,4.432,20.5,0.002097038,0.047058824
